instrument_id,instrument_name,instrument_price,instrument_material,instrument_type,instrument_brand,instrument_img
60,Ovation UCS10P-KOAE Ukulele Celebrity Standard Plus Natural Koa,46536,Липа,Укулеле,Ovation,https://www.muztorg.ru/files/sized/f250x250/1u8/94n/ghu/i68/s4w/c8w/o4s/440/c/1u894nghui68s4wc8wo4s440c.jpg
61,FLIGHT TUC DASHA KIRPICH,4190,Береза,Укулеле,FLIGHT,https://www.muztorg.ru/files/sized/f250x250/eu6/hr1/qyb/w0s/kco/4gk/cwc/0w0/8/eu6hr1qybw0skco4gkcwc0w08.jpg
62,FLIGHT NUS380 JADE,3990,Махонь,Укулеле,FLIGHT,https://www.muztorg.ru/files/sized/f250x250/2pq/7ar/a4o/hmo/cc8/o4g/kk8/o8c/k/2pq7ara4ohmocc8o4gkk8o8ck.jpeg
63,TERRIS PLUS HARI,2080,Сосна,Укулеле,TERRIS,https://www.muztorg.ru/files/sized/f250x250/ant/v6i/kvs/o8o/k4g/080/kkk/so0/8/antv6ikvso8ok4g080kkkso08.jpg
64,FLIGHT TUS 35 YW,3250,Липа,Укулеле,FLIGHT,https://www.muztorg.ru/files/sized/f250x250/dbk/3wj/0m1/rco/g0s/s8s/s40/04g/c/dbk3wj0m1rcog0ss8ss4004gc.jpg
65,ENYA EUC-X1,16500,Дуб,Укулеле,ENYA,https://www.muztorg.ru/files/sized/f250x250/3e3/kvg/5t3/pyc/kk0/c84/gc0/o0c/4/3e3kvg5t3pyckk0c84gc0o0c4.jpg
66,Belucci XU21-11 Coffee,1462,Махонь,Укулеле,Belucci,https://www.muztorg.ru/files/sized/f250x250/bhw/w6k/o4c/408/oc0/c4c/kws/sgc/g/bhww6ko4c408oc0c4ckwssgcg.jpg
67,LANIKAI MRS-CET,42800,Ольха,Укулеле,LANIKAI,https://www.muztorg.ru/files/sized/f250x250/9tl/vgr/p0x/b8k/o0o/cg8/s00/ckg/k/9tlvgrp0xb8ko0ocg8s00ckgk.jpg
68,FLIGHT NUS200 NA,3630,Пластик,Укулеле,FLIGHT,https://www.muztorg.ru/files/sized/f250x250/9kp/ny5/fxu/vk8/0oo/0ck/o00/c0o/w/9kpny5fxuvk80oo0cko00c0ow.jpeg
69,FLIGHT DUC 373 MAH,7030,Ольха,Укулеле,FLIGHT,https://www.muztorg.ru/files/sized/f250x250/504/kzc/zzj/ugw/0gg/csc/gws/cwk/s/504kzczzjugw0ggcscgwscwks.jpg
70,Kaimana UK-23M NS,2576,Орех,Укулеле,Kaimana,https://www.muztorg.ru/files/sized/f250x250/cf5/idq/meq/zkg/s44/sgc/wo8/kwg/4/cf5idqmeqzkgs44sgcwo8kwg4.png
71,WATERMAN by KALA KA-SWF-BL Waterman Fluorescent Blue; Soprano Ukulele,3060,Сосна,Укулеле,WATERMAN,https://www.muztorg.ru/files/sized/f250x250/1tj/vjm/0ye/pa8/scs/48s/ook/wo4/c/1tjvjm0yepa8scs48sookwo4c.jpg
72,Belucci XU21-11 Light Pink,1462,Орех,Укулеле,Belucci,https://www.muztorg.ru/files/sized/f250x250/c7t/vaj/u43/6ok/k8g/sks/wgo/4ss/c7tvaju436okk8gskswgo4ss0.jpg
73,FLIGHT TUC-32 SAKURA,4280,Клен,Укулеле,FLIGHT,https://www.muztorg.ru/files/sized/f250x250/7un/hqq/gn2/70g/gwo/css/gcs/wks/o/7unhqqgn270ggwocssgcswkso.jpeg
74,FLIGHT TUSL 35 BK,3650,Сосна,Укулеле,FLIGHT,https://www.muztorg.ru/files/sized/f250x250/1j8/kk2/wrw/ikg/088/wsk/o8w/ssc/c/1j8kk2wrwikg088wsko8wsscc.jpg
75,FLIGHT NUS380 CORAL,3990,Липа,Укулеле,FLIGHT,https://www.muztorg.ru/files/sized/f250x250/5d4/2es/fau/dss/8wg/w4s/gwg/g88/k/5d42esfaudss8wgw4sgwgg88k.jpeg
76,FLIGHT DUS 320 CEQ SP/ZEB CEQ,9070,Береза,Укулеле,FLIGHT,https://www.muztorg.ru/files/sized/f250x250/3m7/44k/a8n/tgk/oog/oos/4w4/cg8/4/3m744ka8ntgkoogoos4w4cg84.jpg
77,FLIGHT CENTURION Tenor VB,22700,Сосна,Укулеле,FLIGHT,https://www.muztorg.ru/files/sized/f250x250/eyn/b13/nhb/r40/okc/k08/wc8/4oo/w/eynb13nhbr40okck08wc84oow.jpeg
78,TERRIS PLUS CAT,2080,Дуб,Укулеле,TERRIS,https://www.muztorg.ru/files/sized/f250x250/cou/1fg/dgh/sg8/w0c/4gc/44k/kk0/4/cou1fgdghsg8w0c4gc44kkk04.jpg
79,WATERMAN by KALA KA-CWB-GN Green; Matte; Concert Ukulele w/Bag,4700,Липа,Укулеле,WATERMAN,https://www.muztorg.ru/files/sized/f250x250/69x/jdb/ryy/jgg/k44/w4c/s0o/kcg/4/69xjdbryyjggk44w4cs0okcg4.jpg
80,FENDER Ukulele ZUMA Natural,20100,Орех,Укулеле,FENDER,https://www.muztorg.ru/files/sized/f250x250/7qr/1x1/1vz/vok/wgs/w8o/0ws/oc8/7qr1x11vzvokwgsw8o0wsoc80.jpg
81,VESTON KUS 25 OWL,3220,Пластик,Укулеле,VESTON,https://www.muztorg.ru/files/sized/f250x250/5x4/v8l/j4g/p8o/800/8os/owg/g40/8/5x4v8lj4gp8o8008osowgg408.jpg
82,LANIKAI MA-C,10100,Дуб,Укулеле,LANIKAI,https://www.muztorg.ru/files/sized/f250x250/8vx/8eb/wt8/j0o/g8o/000/g4g/wgo/4/8vx8ebwt8j0og8o000g4gwgo4.jpg
83,Belucci XU21-11 Green,1462,Сосна,Укулеле,Belucci,https://www.muztorg.ru/files/sized/f250x250/80r/n92/sax/hs8/40g/04w/wc4/kos/o/80rn92saxhs840g04wwc4koso.jpg
84,FLIGHT TUSL 35 DB,3650,Яблоня,Укулеле,FLIGHT,https://www.muztorg.ru/files/sized/f250x250/852/02x/jjl/64o/ks0/gcc/4ok/sgo/8/85202xjjl64oks0gcc4oksgo8.jpg
85,FLIGHT TUS 35 RD,3250,Пластик,Укулеле,FLIGHT,https://www.muztorg.ru/files/sized/f250x250/cxl/0un/j0r/54o/gow/owc/cko/8k8/o/cxl0unj0r54ogowowccko8k8o.jpg
86,KALA KA-S Kala Mahogany Soprano Ukulele w/Binding,5775,Яблоня,Укулеле,KALA,https://www.muztorg.ru/files/sized/f250x250/2kt/ie3/w20/jy8/g08/og0/co0/w08/c/2ktie3w20jy8g08og0co0w08c.jpg
87,ENYA EUS-X1,14900,Орех,Укулеле,ENYA,https://www.muztorg.ru/files/sized/f250x250/er1/w9q/1rt/oo4/kow/wo8/4co/8ck/k/er1w9q1rtoo4kowwo84co8ckk.jpg
88,KALA KA-C Kala Mahogany Concert Ukulele,7140,Липа,Укулеле,KALA,https://www.muztorg.ru/files/sized/f250x250/6k2/vbw/eum/2kg/skg/4kc/4ws/g0c/8/6k2vbweum2kgskg4kc4wsg0c8.jpg
89,Belucci XU21-11 Sky,1462,Липа,Укулеле,Belucci,https://www.muztorg.ru/files/sized/f250x250/23g/eeh/04v/k5c/4ow/0so/4s4/ss0/o/23geeh04vk5c4ow0so4s4ss0o.jpg
90,WIKI UK/HOHLOMA - укулеле; сопрано; `ХОХЛОМА`; + чехол,2900,Ольха,Укулеле,WIKI,https://www.muztorg.ru/files/sized/f250x250/egi/w17/sbx/rco/s8w/ogg/gwc/80s/4/egiw17sbxrcos8wogggwc80s4.jpg
91,WIKI UK/CCCP,3790,Клен,Укулеле,WIKI,https://www.muztorg.ru/files/sized/f250x250/8q4/phm/8jy/8g8/44s/wgk/sc0/0go/g/8q4phm8jy8g844swgksc00gog.jpg
92,TERRIS PLUS 70 VAMP,2230,Яблоня,Укулеле,TERRIS,https://www.muztorg.ru/files/sized/f250x250/8o1/vm1/yts/doo/kk8/400/o0w/csc/8/8o1vm1ytsdookk8400o0wcsc8.jpeg
93,Belucci XU21-11 White,1462,Сосна,Укулеле,Belucci,https://www.muztorg.ru/files/sized/f250x250/t0y/jfh/v9a/5cg/w0c/ks8/80c/0wg/t0yjfhv9a5cgw0cks880c0wg.jpg
94,WIKI UK/CHE,3790,Береза,Укулеле,WIKI,https://www.muztorg.ru/files/sized/f250x250/btk/f60/dwc/3wo/w00/8ok/0cg/csk/o/btkf60dwc3wow008ok0cgcsko.jpg
95,Belucci XU21-11 Blue,1462,Клен,Укулеле,Belucci,https://www.muztorg.ru/files/sized/f250x250/czb/gsu/2p2/cgk/c8o/8gg/8gs/kwk/8/czbgsu2p2cgkc8o8gg8gskwk8.jpg
96,ENYA NOVA U/WH,13200,Пластик,Укулеле,ENYA,https://www.muztorg.ru/files/sized/f250x250/75u/yr5/2mk/hwk/cg8/ssg/0wo/gg4/c/75uyr52mkhwkcg8ssg0wogg4c.jpg
97,TERRIS JUS-10 TIF,1880,Махонь,Укулеле,TERRIS,https://www.muztorg.ru/files/sized/f250x250/1ht/tcg/z12/1c0/wg8/88s/cc0/sss/8/1httcgz121c0wg888scc0sss8.jpg
98,FLIGHT TUS 35 WH,3250,Липа,Укулеле,FLIGHT,https://www.muztorg.ru/files/sized/f250x250/9rs/shp/dzy/pcs/888/4gw/0ww/8kc/k/9rsshpdzypcs8884gw0ww8kck.jpg
99,FLIGHT DUC380 CEQ AMBER,9500,Махонь,Укулеле,FLIGHT,https://www.muztorg.ru/files/sized/f250x250/784/g1c/js9/2os/4os/s4k/48g/8g8/o/784g1cjs92os4oss4k48g8g8o.jpeg
100,FLIGHT TUS-40 UNICORN,3630,Ольха,Укулеле,FLIGHT,https://www.muztorg.ru/files/sized/f250x250/ebh/ms5/m1l/rks/0sw/c4k/8w4/ccs/k/ebhms5m1lrks0swc4k8w4ccsk.jpg
101,TERRIS TTC-1 BK,2120,Махонь,Укулеле,TERRIS,https://www.muztorg.ru/files/sized/f250x250/8ih/5og/bd2/lgk/4w4/8kg/4os/ssw/8/8ih5ogbd2lgk4w48kg4osssw8.jpg
102,KALA MK-SS/WHT MAKALA SHARK; SOPRANO UKULELE; GREAT WHI,5400,Дуб,Укулеле,KALA,https://www.muztorg.ru/files/sized/f250x250/155/ae0/c2u/8hw/co8/0wk/ogc/w4o/8/155ae0c2u8hwco80wkogcw4o8.jpg
103,CORDOBA PROTEGE U1 Ukulele,9200,Махонь,Укулеле,CORDOBA,https://www.muztorg.ru/files/sized/f250x250/79f/0nw/a08/lwc/kkg/cko/8ss/0sg/8/79f0nwa08lwckkgcko8ss0sg8.jpg
104,FLIGHT NUS380 AMBER,3990,Яблоня,Укулеле,FLIGHT,https://www.muztorg.ru/files/sized/f250x250/dx9/5wk/u7k/s8w/o0k/4ks/g8g/gks/dx95wku7ks8wo0k4ksg8ggks0.jpeg
105,FLIGHT TUS 40 MW,3630,Береза,Укулеле,FLIGHT,https://www.muztorg.ru/files/sized/f250x250/5g9/dw3/hhv/8kk/4go/ows/g8g/804/c/5g9dw3hhv8kk4goowsg8g804c.jpg
106,WATERMAN by KALA KA-SWG-BL Waterman GITD Blue Soprano Ukulele,2768,Сосна,Укулеле,WATERMAN,https://www.muztorg.ru/files/sized/f250x250/6iu/rf0/450/24o/84c/c44/440/ws8/6iurf045024o84cc44440ws80.jpg
107,VESTON KUS100 BK,2560,Орех,Укулеле,VESTON,https://www.muztorg.ru/files/sized/f250x250/e08/dst/m3m/igw/4wc/wk8/g4c/g00/4/e08dstm3migw4wcwk8g4cg004.jpeg
108,WATERMAN by KALA KA-SWF-PK Waterman Fluorescent Pink; Soprano Ukulele,3075,Орех,Укулеле,WATERMAN,https://www.muztorg.ru/files/sized/f250x250/bh2/wwn/gl9/r4k/gkg/gog/8o4/so0/4/bh2wwngl9r4kgkggog8o4so04.jpg
109,WIKI UK20CE,7000,Береза,Укулеле,WIKI,https://www.muztorg.ru/files/sized/f250x250/byp/944/lb9/544/kos/0sg/cs4/okw/k/byp944lb9544kos0sgcs4okwk.jpg
110,CORDOBA 20 SM,17000,Дуб,Укулеле,CORDOBA,https://www.muztorg.ru/files/sized/f250x250/2tb/r5p/vqy/zms/ow0/ook/ok8/g4s/s/2tbr5pvqyzmsow0ookok8g4ss.jpg
111,VESTON KUS 25 MAYA,3220,Липа,Укулеле,VESTON,https://www.muztorg.ru/files/sized/f250x250/b3h/18k/8s6/h44/0ck/gg4/c04/csc/w/b3h18k8s6h440ckgg4c04cscw.jpg
112,VESTON KUS100 NA,2560,Махонь,Укулеле,VESTON,https://www.muztorg.ru/files/sized/f250x250/6u7/aig/e1s/2sk/4wk/888/kg8/wws/8/6u7aige1s2sk4wk888kg8wws8.jpg
113,FLIGHT CENTURION Tenor GT,22700,Липа,Укулеле,FLIGHT,https://www.muztorg.ru/files/sized/f250x250/8mj/axv/20b/asc/8w4/wc8/084/sgs/k/8mjaxv20basc8w4wc8084sgsk.jpg
114,FENDER Ukulele VENICE Cherry,10700,Орех,Укулеле,FENDER,https://www.muztorg.ru/files/sized/f250x250/69n/xqu/yol/msk/o44/cow/0gs/0gs/4/69nxquyolmsko44cow0gs0gs4.jpg
115,Kaimana UK-26M NS,2747,Дуб,Укулеле,Kaimana,https://www.muztorg.ru/files/sized/f250x250/ba9/eiy/6qu/lss/88c/kc0/s84/k4s/s/ba9eiy6qulss88ckc0s84k4ss.png
116,IBANEZ UKS100-OPN,11800,Орех,Укулеле,IBANEZ,https://www.muztorg.ru/files/sized/f250x250/1fu/y4v/t48/vgg/wow/8k0/48o/sko/c/1fuy4vt48vggwow8k048oskoc.jpg
117,FLIGHT TUC-53 MAH,4190,Липа,Укулеле,FLIGHT,https://www.muztorg.ru/files/sized/f250x250/weq/du8/x2k/dw8/80k/o88/gw8/wsg/weqdu8x2kdw880ko88gw8wsg.jpeg
118,Belucci XU 21-11 VTS,1462,Липа,Укулеле,Belucci,https://www.muztorg.ru/files/sized/f250x250/bdu/07f/a1d/748/wks/8gs/sw0/8ss/c/bdu07fa1d748wks8gssw08ssc.jpg
